                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2705,                 16.076,                 1.6788,                0.00145,                0.27429,                0.06099,                0.01994,                 1.3309,                 12.471,                 1.1493,                 0.0002,                 0.0002,                 0.0002
                      2,                  1.487,                 12.693,                 1.1914,                0.00106,                0.18857,                0.00179,                0.00093,                0.95206,                 10.418,                0.97653,             0.00041307,             0.00041307,             0.00041307
                      3,                 1.1541,                 9.4304,                  1.018,                0.01757,                0.02857,                0.00403,                 0.0026,                0.85235,                 10.219,                0.89028,             0.00061888,             0.00061888,             0.00061888
                      4,                 1.0761,                 8.5488,                 1.0067,                0.09599,                0.08571,                0.03164,                0.02607,                 1.0022,                 9.5717,                 0.9376,             0.00081743,             0.00081743,             0.00081743
                      5,                 1.0093,                 6.7272,                0.99021,                0.23709,                0.06286,                0.05741,                0.03809,                0.84956,                 7.9672,                0.91658,              0.0010087,              0.0010087,              0.0010087
                      6,                0.94723,                 6.4491,                0.97326,                0.16496,                0.09714,                0.08439,                0.06048,                0.84619,                 7.1797,                0.91224,              0.0011928,              0.0011928,              0.0011928
                      7,                0.92732,                 5.5036,                0.93933,                0.79879,                0.61143,                0.73549,                0.53273,                0.88348,                 5.9892,                0.95015,              0.0013695,              0.0013695,              0.0013695
                      8,                0.95733,                 5.6001,                0.93623,                0.93338,                0.72056,                0.81505,                0.59476,                0.99381,                 4.9511,                 1.0565,               0.001539,               0.001539,               0.001539
                      9,                0.88902,                 5.0606,                0.96176,                0.95575,                   0.76,                0.84532,                0.65123,                0.92501,                 4.9764,                 1.0074,              0.0017013,              0.0017013,              0.0017013
                     10,                0.95952,                 4.6505,                0.96187,                0.88522,                0.81714,                 0.8956,                0.65681,                0.89353,                 4.6369,                0.94991,               0.001703,               0.001703,               0.001703
                     11,                0.86939,                  4.433,                0.93243,                0.94953,                 0.8601,                0.91951,                0.71703,                0.85659,                 3.2874,                 1.0556,               0.001703,               0.001703,               0.001703
                     12,                0.88832,                 3.9287,                0.95307,                0.92975,                   0.88,                 0.9273,                0.73641,                0.78535,                 4.1941,                0.94945,                0.00167,                0.00167,                0.00167
                     13,                0.77985,                 3.4676,                0.92639,                0.94134,                0.91701,                0.96916,                0.77378,                0.73993,                 2.7925,                 0.9081,               0.001637,               0.001637,               0.001637
                     14,                0.76729,                 3.3316,                0.89887,                0.75858,                 0.8439,                0.85057,                0.68741,                0.73978,                 3.1593,                0.92994,               0.001604,               0.001604,               0.001604
                     15,                0.76799,                 2.8519,                0.89848,                 0.8602,                0.80867,                0.90738,                0.74849,                0.69224,                  3.591,                0.90725,               0.001571,               0.001571,               0.001571
