                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                0.70591,                 2.5775,                 0.9084,                0.99395,                0.93827,                0.97594,                 0.8177,                0.67152,                 2.2813,                0.88536,               0.001538,               0.001538,               0.001538
                     17,                0.73015,                 2.3693,                0.89439,                0.97463,                0.92571,                0.97978,                0.85189,                0.57882,                 2.1066,                0.86937,               0.001505,               0.001505,               0.001505
                     18,                0.77979,                 2.5054,                0.87854,                0.98775,                0.92145,                 0.9437,                0.76802,                0.75588,                 3.4687,                0.95085,               0.001472,               0.001472,               0.001472
                     19,                0.77904,                 2.1659,                0.89998,                0.92616,                0.30286,                0.31355,                  0.266,                 1.7091,                 4.7806,                 2.5904,               0.001439,               0.001439,               0.001439
                     20,                0.69949,                 2.0678,                0.85409,                0.94413,                0.86906,                0.89486,                0.77926,                0.60694,                 2.2645,                0.90248,               0.001406,               0.001406,               0.001406
                     21,                0.69055,                 1.9464,                0.88381,                0.97088,                0.95246,                0.97283,                0.84235,                0.57188,                 1.7047,                0.85096,               0.001373,               0.001373,               0.001373
                     22,                0.64181,                  1.765,                0.86188,                0.98684,                   0.96,                0.97829,                0.86395,                0.53188,                 1.5173,                0.85107,                0.00134,                0.00134,                0.00134
                     23,                0.65238,                 1.7345,                0.86174,                0.95987,                0.95678,                0.98817,                0.84582,                0.56967,                  1.478,                0.85911,               0.001307,               0.001307,               0.001307
                     24,                0.61605,                 1.6434,                0.87422,                0.99412,                0.96529,                0.99256,                0.88336,                0.50539,                 1.4235,                0.84616,               0.001274,               0.001274,               0.001274
                     25,                0.60053,                 1.5457,                0.84317,                 0.9828,                 0.9795,                 0.9909,                0.86299,                0.53613,                 1.3168,                0.85608,               0.001241,               0.001241,               0.001241
                     26,                0.63813,                 1.3842,                0.86115,                0.98843,                0.97632,                0.99364,                0.85774,                0.54792,                 1.2629,                0.85411,               0.001208,               0.001208,               0.001208
                     27,                0.64065,                 1.2635,                 0.8603,                0.98288,                0.98443,                0.99302,                0.87835,                0.51672,                   1.14,                 0.8446,               0.001175,               0.001175,               0.001175
                     28,                 0.6039,                 1.2594,                0.84511,                 0.9971,                0.97143,                0.99461,                 0.8995,                0.48086,                 1.0855,                0.84239,               0.001142,               0.001142,               0.001142
                     29,                0.61057,                  1.235,                0.85545,                0.99882,                0.97714,                0.99372,                 0.9067,                0.48018,                 1.0446,                0.83917,               0.001109,               0.001109,               0.001109
                     30,                0.58704,                 1.1878,                0.83894,                0.99326,                0.98857,                0.99378,                0.89941,                0.46974,                 1.0027,                0.83437,               0.001076,               0.001076,               0.001076
                     31,                0.59056,                 1.0897,                 0.8374,                      1,                0.99057,                  0.995,                0.89671,                0.48348,                0.94873,                0.83711,               0.001043,               0.001043,               0.001043
                     32,                 0.5444,                  1.047,                0.83246,                0.99902,                      1,                  0.995,                0.89693,                0.48062,                0.94347,                0.83155,                0.00101,                0.00101,                0.00101
                     33,                0.57483,                 1.0458,                0.84808,                      1,                0.99942,                  0.995,                0.90754,                0.44237,                0.91001,                0.82776,               0.000977,               0.000977,               0.000977
                     34,                0.57071,                 1.0227,                0.84215,                0.99318,                0.98857,                0.99489,                0.90128,                0.43022,                 0.8466,                0.83047,               0.000944,               0.000944,               0.000944
                     35,                0.53907,                0.92852,                0.84508,                0.98218,                0.99429,                0.99266,                 0.9196,                0.42066,                0.83241,                0.82331,               0.000911,               0.000911,               0.000911
                     36,                0.50216,                0.89962,                0.82227,                 0.9934,                0.99429,                0.99489,                0.92246,                0.41264,                0.78255,                0.81996,               0.000878,               0.000878,               0.000878
                     37,                0.49069,                0.87656,                0.81775,                      1,                 0.9909,                  0.995,                0.91648,                 0.4231,                0.75578,                0.81755,               0.000845,               0.000845,               0.000845
                     38,                0.50114,                0.85906,                0.80965,                      1,                0.99391,                  0.995,                0.91501,                0.41367,                0.75063,                0.81608,               0.000812,               0.000812,               0.000812
                     39,                0.53203,                0.81879,                0.82564,                 0.9992,                0.99429,                  0.995,                0.92607,                0.39664,                0.74344,                0.81379,               0.000779,               0.000779,               0.000779
                     40,                0.50501,                0.78165,                0.81789,                0.99896,                0.99429,                  0.995,                0.94141,                0.37488,                0.70198,                0.81131,               0.000746,               0.000746,               0.000746
                     41,                 0.4669,                0.75018,                0.80859,                0.99927,                0.99429,                  0.995,                0.93597,                0.36409,                0.68072,                0.81138,               0.000713,               0.000713,               0.000713
                     42,                 0.4454,                0.72626,                0.81231,                      1,                 0.9992,                  0.995,                0.93469,                0.37225,                0.66769,                0.81094,                0.00068,                0.00068,                0.00068
                     43,                0.47362,                0.71497,                0.80423,                      1,                0.99893,                  0.995,                0.92864,                0.37847,                0.65823,                0.80966,               0.000647,               0.000647,               0.000647
                     44,                 0.4489,                0.77233,                0.81691,                      1,                0.99975,                  0.995,                0.94142,                0.35705,                 0.6336,                0.80562,               0.000614,               0.000614,               0.000614
                     45,                0.45647,                0.75351,                0.82506,                0.99984,                      1,                  0.995,                0.94877,                0.35205,                0.61552,                 0.8061,               0.000581,               0.000581,               0.000581
                     46,                0.44564,                0.69834,                0.80486,                0.99954,                      1,                  0.995,                0.94081,                0.34924,                  0.619,                 0.8076,               0.000548,               0.000548,               0.000548
                     47,                0.46581,                0.71624,                0.81512,                 0.9992,                0.99429,                  0.995,                0.94042,                0.34762,                0.61449,                0.80758,               0.000515,               0.000515,               0.000515
                     48,                0.42576,                0.71467,                0.80618,                0.99807,                0.99429,                  0.995,                0.93501,                0.35826,                0.61048,                0.80787,               0.000482,               0.000482,               0.000482
                     49,                0.43281,                0.66346,                0.79595,                0.99832,                0.99429,                  0.995,                0.94528,                0.35268,                0.59797,                0.80844,               0.000449,               0.000449,               0.000449
                     50,                0.41996,                0.65809,                0.81521,                      1,                0.99921,                  0.995,                0.94996,                0.33931,                0.57046,                0.80594,               0.000416,               0.000416,               0.000416
                     51,                0.42386,                0.81426,                0.82376,                0.99978,                      1,                  0.995,                0.95873,                0.33322,                0.56836,                0.80444,               0.000383,               0.000383,               0.000383
                     52,                0.39561,                 0.7968,                0.80436,                      1,                0.99978,                  0.995,                0.95161,                0.34006,                0.55383,                0.80638,                0.00035,                0.00035,                0.00035
                     53,                0.37261,                0.73953,                0.80807,                      1,                0.99974,                  0.995,                0.95132,                0.33636,                0.54951,                 0.8063,               0.000317,               0.000317,               0.000317
                     54,                0.37959,                0.74918,                0.79307,                      1,                0.99998,                  0.995,                0.94378,                0.34207,                0.53497,                0.80471,               0.000284,               0.000284,               0.000284
                     55,                0.40129,                0.75704,                  0.796,                      1,                0.99932,                  0.995,                0.94797,                0.34026,                0.52982,                0.80435,               0.000251,               0.000251,               0.000251
                     56,                0.38856,                0.74811,                0.80983,                      1,                0.99965,                  0.995,                0.95452,                0.32845,                0.52234,                0.80334,               0.000218,               0.000218,               0.000218
                     57,                0.38148,                0.71564,                0.79289,                0.99945,                      1,                  0.995,                0.95467,                0.32617,                0.52501,                0.80258,               0.000185,               0.000185,               0.000185
                     58,                0.35897,                0.70417,                0.78366,                0.99912,                      1,                  0.995,                0.95486,                0.32744,                0.52625,                0.80185,               0.000152,               0.000152,               0.000152
                     59,                0.37716,                0.71282,                0.78902,                 0.9993,                      1,                  0.995,                0.95925,                0.31601,                0.51261,                0.80168,               0.000119,               0.000119,               0.000119
                     60,                0.37146,                0.70452,                0.80225,                0.99971,                      1,                  0.995,                0.96245,                0.30845,                0.50022,                 0.8011,                8.6e-05,                8.6e-05,                8.6e-05
