                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3444,                 1.0359,                0.97492,                0.95376,                0.82498,                0.92454,                0.52515,                 1.3582,                 1.0609,                0.87372,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3624,                 1.1396,                 0.9535,                0.94781,                0.90857,                0.95443,                0.56922,                 1.2605,                  1.009,                0.86467,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.4163,                 1.0505,                 0.9781,                 0.9422,                0.82857,                0.93081,                0.52934,                 1.3417,                0.99791,                0.86868,               0.001307,               0.001307,               0.001307
                     38,                 1.3724,                 1.0244,                0.97056,                0.93404,                0.89018,                0.94221,                 0.5235,                 1.3814,                0.96176,                 0.8713,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3149,                 1.0003,                 0.9343,                0.93299,                0.87517,                0.93203,                0.53777,                 1.3388,                0.97101,                0.87274,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.4484,                 1.0631,                0.97806,                0.87384,                 0.8312,                0.89851,                0.52312,                 1.3255,                0.95399,                0.86572,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2761,                0.94334,                0.92653,                 0.8537,                 0.8336,                0.89286,                0.53284,                 1.2918,                0.94061,                0.86737,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2182,                 0.9523,                 0.8934,                0.91075,                0.75806,                0.87731,                0.53108,                 1.2547,                0.97606,                 0.8507,               0.001208,               0.001208,               0.001208
                     43,                 1.2697,                0.90987,                0.91507,                0.91778,                0.82917,                0.92527,                0.57133,                  1.241,                0.89944,                0.84939,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.1917,                0.94375,                0.93947,                0.97207,                0.85143,                0.94919,                0.60035,                 1.2343,                0.82723,                   0.85,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2677,                0.91148,                0.93945,                0.97153,                0.85143,                  0.945,                0.60353,                 1.2223,                0.80814,                 0.8546,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2306,                 0.9213,                0.91102,                0.91616,                   0.88,                0.95382,                0.62638,                 1.2019,                0.79373,                0.85382,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1698,                 0.8709,                0.93854,                0.92837,                0.88868,                0.95589,                0.61576,                 1.1691,                0.79045,                0.85202,               0.001109,               0.001109,               0.001109
                     48,                  1.117,                0.80739,                0.86978,                0.98089,                 0.8799,                0.96583,                0.65785,                 1.0916,                0.73522,                0.84029,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0811,                0.77264,                0.90328,                0.98056,                0.86468,                0.96822,                0.66364,                 1.0584,                0.72899,                0.83324,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1608,                 0.8542,                 0.9342,                0.94954,                0.89714,                0.96604,                0.66071,                 1.0623,                0.72224,                0.83268,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1574,                0.86238,                0.89844,                0.98802,                0.90286,                0.97247,                0.65621,                 1.0712,                0.72481,                0.83131,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1144,                0.81862,                0.91799,                0.94324,                0.94953,                0.97999,                0.64856,                 1.0797,                0.72077,                0.83072,                0.00101,                0.00101,                0.00101
                     53,                 1.1294,                0.81486,                0.92119,                0.93126,                0.92571,                0.97412,                 0.6536,                 1.0806,                 0.7248,                0.83607,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1694,                0.80047,                0.93457,                0.92126,                   0.88,                0.95445,                0.63558,                 1.0997,                0.74631,                0.83593,              0.0009704,              0.0009704,              0.0009704
