                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4217,                 15.925,                 1.8916,                0.00071,                0.11282,                0.00194,                0.00051,                 1.8641,                 15.474,                 1.4494,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.9694,                 13.695,                 1.5981,                0.00174,                0.24615,                0.08477,                0.02238,                  1.301,                 12.883,                 1.1792,             0.00021564,             0.00021564,             0.00021564
                      3,                 1.3391,                 12.648,                 1.1845,                0.00176,                0.23077,                0.07637,                0.02274,                 1.0827,                 10.722,                 1.0488,             0.00032654,             0.00032654,             0.00032654
                      4,                  1.325,                 10.162,                 1.1514,                0.00137,                0.17949,                0.04992,                0.01697,                0.99639,                 10.475,                  1.012,             0.00043268,             0.00043268,             0.00043268
                      5,                 1.1609,                 9.8948,                  1.084,                 0.0016,                0.18462,                0.08397,                0.04372,                0.96027,                 10.469,                0.97824,             0.00053406,             0.00053406,             0.00053406
                      6,                 1.0944,                 8.6318,                 1.0265,                      1,                0.03685,                0.08988,                0.06136,                0.90291,                 9.8176,                0.93073,              0.0006307,              0.0006307,              0.0006307
                      7,                0.97187,                 8.9693,                0.97609,                0.85416,                0.06015,                0.10392,                0.07202,                0.91393,                 9.8664,                0.93625,             0.00072258,             0.00072258,             0.00072258
